Reading pref.tcl

# 2020.1

# do ./run_all.do
# Error 133: Unable to remove directory "C:/Users/Shuai/GoogleDrive/Projects/riscy/sim/work/@_opt/_data".
# Error 133: Unable to remove directory "C:/Users/Shuai/GoogleDrive/Projects/riscy/sim/work/@_opt".
# Error 133: Unable to remove directory "C:/Users/Shuai/GoogleDrive/Projects/riscy/sim/work/@_opt1/_data".
# Error 133: Unable to remove directory "C:/Users/Shuai/GoogleDrive/Projects/riscy/sim/work/@_opt1".
# Error 133: Unable to remove directory "C:/Users/Shuai/GoogleDrive/Projects/riscy/sim/work/_temp".
# Error 133: Unable to remove directory "C:/Users/Shuai/GoogleDrive/Projects/riscy/sim/work/_tempmsg".
# Error 133: Unable to remove directory "C:/Users/Shuai/GoogleDrive/Projects/riscy/sim/work".
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# -- Compiling package defines
# 
# Top level modules:
# 	--none--
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# -- Compiling package smoke_test_single_sv_unit
# -- Importing package defines
# -- Compiling module smoke_test_single
# 
# Top level modules:
# 	smoke_test_single
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# -- Compiling package proc_hier_sv_unit
# -- Importing package defines
# -- Compiling module proc_hier
# 
# Top level modules:
# 	proc_hier
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# -- Compiling package proc_sv_unit
# -- Importing package defines
# -- Compiling module proc
# 
# Top level modules:
# 	proc
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# -- Compiling package clkrst_sv_unit
# -- Importing package defines
# -- Compiling module clkrst
# 
# Top level modules:
# 	clkrst
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# ** Warning: ../rtl/hazzard_ctrl.sv(5): (vlog-13314) Defaulting port 'instr_f' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(6): (vlog-13314) Defaulting port 'instr_d' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(7): (vlog-13314) Defaulting port 'instr_x' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(8): (vlog-13314) Defaulting port 'instr_m' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(9): (vlog-13314) Defaulting port 'instr_w' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# -- Compiling package hazzard_ctrl_sv_unit
# -- Importing package defines
# -- Compiling module hazzard_ctrl
# ** Warning: ../rtl/hazzard_ctrl.sv(5): (vlog-13314) Defaulting port 'instr_f' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(6): (vlog-13314) Defaulting port 'instr_d' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(7): (vlog-13314) Defaulting port 'instr_x' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(8): (vlog-13314) Defaulting port 'instr_m' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# ** Warning: ../rtl/hazzard_ctrl.sv(9): (vlog-13314) Defaulting port 'instr_w' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# 
# Top level modules:
# 	hazzard_ctrl
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# ** Error: (vlog-7) Failed to open design unit file "../rtl/base/dff.sv" in read mode.
# No such file or directory. (errno = ENOENT)
# ** Error: C:/questasim64_2020.1/win64/vlog failed.
# Executing ONERROR command at macro ././run_all.do line 28
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# ** Error: (vlog-7) Failed to open design unit file "../rtl/base/dffe.sv" in read mode.
# No such file or directory. (errno = ENOENT)
# ** Error: C:/questasim64_2020.1/win64/vlog failed.
# Executing ONERROR command at macro ././run_all.do line 29
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# -- Compiling package mem_sv_unit
# -- Importing package defines
# -- Compiling module mem
# 
# Top level modules:
# 	mem
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# ** Warning: ../rtl/fetch/branch_predict.sv(4): (vlog-13314) Defaulting port 'instr' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# -- Compiling package branch_predict_sv_unit
# -- Importing package defines
# -- Compiling module branch_predict
# ** Warning: ../rtl/fetch/branch_predict.sv(4): (vlog-13314) Defaulting port 'instr' kind to 'var' rather than 'wire' due to default compile option setting of -svinputport=relaxed.
# 
# Top level modules:
# 	branch_predict
# QuestaSim-64 vlog 2020.1 Compiler 2020.01 Jan 28 2020
# -- Compiling package fetch_sv_unit
# -- Importing package defines
# -- Compiling module fetch
# 
# Top level modules:
# 	fetch
